block_number,attacker,victim_tx_index,bundle_size,profit,cost,coinbase_profit
25269219,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0293846092428192260,0.0273544550788816560,0.0271215021704081010
25269216,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0966227583392475860,0.0911994182360930700,0.0909573520061637420
25268693,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0594762459096760780,0.0568479940574952900,0.0566260250705745060
25268605,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,4,3,0.0054958524999925760,0.0037246951965378280,0.0036769875366189410
25268494,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,2,4,0.3314402451121786400,0.3144554521246460020,0.3128215128775379300
25268448,0x000000000035B5E5AD9019092C665357240F594E,31,3,0.0043203179851757870,0.0018524594467355520,0.0017369410241457720
25268438,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,40,4,0.0933921299133154770,0.0173296439733687740,0.0168929161439693540
25268405,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0193695557349837870,0.0174179139455128870,0.0172302907617386470
25268357,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.6473419760351766270,0.6330132866591890260,0.6326620158254901450
25268312,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0557180368439989040,0.0521042626850162660,0.0519264305749610820
25268253,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,10,4,0.0035072795249624150,0.0006952544480041310,0.0004322216545656680
25267942,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,2,4,0.0907507126590243210,0.0874284377968212730,0.0873113662917291490
25267825,0x000000000035B5E5AD9019092C665357240F594E,3,3,0.0023339299599224300,0.0013542981474715540,0.0009230927980602760
25267790,0x000000000035B5E5AD9019092C665357240F594E,2,3,0.0775224582358757040,0.0735192723824838210,0.0729814424261077650
25267739,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,5,5,0.0191949787438931100,0.0172523541561455650,0.0167889985039147030
25267601,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.3387957064215205550,0.3239761670395034810,0.3237727243464956930
25267551,0x000000000035B5E5AD9019092C665357240F594E,2,3,0.0030103219028805280,0.0028694805441976590,0.0024675632272254030
25267498,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.4838391553765256650,0.4583473494564179960,0.4581154227956437320
25267400,0x00000000003B3CC22AF3AE1EAC0440BCEE416B40,4,3,0.0028160127658635280,0.0011936297003513730,0.0010968170578524290
25267400,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.6893412439530697180,0.6622173650711552670,0.6619908601500611870
25267257,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,2,3,0.0237363645698637270,0.0218592522235808570,0.0218191400601431320
25266997,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0818247377410177180,0.0787112769631866700,0.0785137858772938060
25266933,0x000000000035B5E5AD9019092C665357240F594E,1,3,0.0089259138200049270,0.0084392598981431390,0.0082093749616444490
25266905,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,2,4,0.0229352376339723850,0.0185210700373100890,0.0182957861009896250
25266836,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0899767469049839480,0.0866324704338565230,0.0865899360702980010
25266759,0x000000000035B5E5AD9019092C665357240F594E,3,3,0.0202263162423616260,0.0189890749244692870,0.0184085502413618030
25266712,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,5,3,0.0258250583106476900,0.0238565816762552880,0.0237310528963420960
25266712,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,2,3,0.1774848596011413930,0.1590090217141237280,0.1582501362101798640
25266654,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,4,3,0.0060518342902197250,0.0042355973636920130,0.0040426427196140250
25266639,0x000000000035B5E5AD9019092C665357240F594E,2,3,0.0091558930952335290,0.0074039655765748310,0.0066609376778035850
25266634,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,2,4,0.0506025325421727860,0.0484531768025958580,0.0476873980171001460
25266629,0x00000000003B3CC22AF3AE1EAC0440BCEE416B40,1,3,0.0991915778084480810,0.0956440172050124030,0.0954308814408151170
25266597,0x000000000035B5E5AD9019092C665357240F594E,1,3,0.0088857569806749840,0.0071542578266112730,0.0061002444099103230
25266592,0x00000000003B3CC22AF3AE1EAC0440BCEE416B40,1,3,0.0124792660168914030,0.0106694783086933130,0.0102804811678023980
25266447,0x000000000035B5E5AD9019092C665357240F594E,2,3,0.0134678319673673580,0.0125714663675469930,0.0122900959669788190
25266369,0x000000000035B5E5AD9019092C665357240F594E,2,3,0.1639076531868218570,0.1550779286128155830,0.1546898157119979740
25266333,0x000000000035B5E5AD9019092C665357240F594E,2,3,0.0264302773800597980,0.0108797503161169380,0.0103673230434836200
25266135,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,22,3,0.0164187559698427420,0.0082787117318331490,0.0077862747373342510
25266088,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,8,4,0.0193753832302847010,0.0095639453150441290,0.0094752004892737180
25265928,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0152553310719363460,0.0111473965149580780,0.0110086475227143950
25265923,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0160253954670227750,0.0118819393148165740,0.0117376664835557290
25265903,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0170011340542525280,0.0129172712857290020,0.0127889083745795080
25265902,0x000000000035B5E5AD9019092C665357240F594E,3,3,0.0555987575138628630,0.0522261381837195050,0.0519203208669577510
25265665,0x00000000003B3CC22AF3AE1EAC0440BCEE416B40,28,3,0.0016687413213218860,0.0000741928611527850,0.0000393417795437630
25265651,0x00000000003B3CC22AF3AE1EAC0440BCEE416B40,1,3,0.0184846511638226880,0.0165499905853033290,0.0163827362026144890
25265618,0x000000000035B5E5AD9019092C665357240F594E,3,4,0.1610779366718215460,0.1504720019361627790,0.1500901906157349490
25265561,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,19,4,0.0054966340186151340,0.0038928022341677150,0.0038773257081069400
25265552,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,81,4,0.0025769139071990330,0.0007057177377322650,0.0006574476873609730
25265523,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0207613910118501180,0.0188583669018585940,0.0187099839234843100
25265395,0x000000000035B5E5AD9019092C665357240F594E,12,3,0.0024638397313995190,0.0010887178129058490,0.0009279723017644890
